Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
CB2013,Drugs/Cannabis/Concentrates,4oz. Kings Nectar,Great wax..Great price...Extracted from Multiple OG strains....comes in x 7 gram containers.16 silicon  containers total..No escrow/US only,5.11090667,USA,usa,4.948/5,
chipzahoy,Drugs/Cannabis/Concentrates,cust order 0043,1 Oz BK Shatter $650  1 Oz PK Shatter $650  2 Gr Wax - Free  Plus express post shipping. Please choose below. :)  Thanks!  Chipz,5.352624649,Canada,Worldwide,4.896/5,Average price may be skewed outliar > .5 BTC found
Christy_Nugs,Drugs/Cannabis/Concentrates,60 grams hash oil,absolutely NO NEW customers! if u have not ordered from me before bummer!  this listing is for 60 grams of hash oil packed into a large syringe. it has a screw on cap - neat and tidy. easy dispen ...,4.742924935,USA,USA,4.992/5,Average price may be skewed outliar > .5 BTC found
CocaineConnections,Drugs/Cannabis/Concentrates,Ear Wax - BHO,50mg Wax  Honeycomb wax  pure THC captured with butane and purged until dry wax.  1 per customer - Sample  $0.45  1 Cocaine sample per person 1 THC sample per person,0.01774422,USA,Worldwide,4.8/5,
cocktails,Drugs/Cannabis/Concentrates,50g BHO Shatter @ 18/g SALE SALE SALE,BHO Shatter (same from evo that had lots of rep)    Message for direct discounts/bulk deals,3.614867553,USA,,4.56/5,Average price may be skewed outliar > .5 BTC found
colocures,Drugs/Cannabis/Concentrates,Cannatonic CBD Oil - CO2 Extract - 1g 510/OpenVAPE Cartridge,This Cartridge works with O-pen  Ego Models  Rem Pen - 510 Threads. In case you are not aware or don't have one  they are available to all states legally for bitcoin via their official website: h ...,0.697832797,USA,USA,~5/5,
ConcentratesKing,Drugs/Cannabis/Concentrates,Bhang Stick Black 275mg Indica THC 70%+,Ultra refined cannabis oil No Additives No Glycols No Glycerines 275mg Cannabis Oil,0.246115419,USA,usa,4.984/5,
cosmicbites,Drugs/Cannabis/Concentrates,Watermelon Cosmic Drops 1OZ Bottle,Tasty and fresh  Cosmic's Watermelon Drops bring the sweet  mouth-watering taste watermelon to life. Place a few drops of our marijuana tincture drops under your tongue for maximum efficacy. Cosmic D ...,0.206876002,USA,,4.96/5,
Counsellor,Drugs/Cannabis/Concentrates,14 Grams FOOD GRADE BHO,Hello Fellow Medical Patients. On top of our low cost BHO we are now taking all of our bho that is darker and possibly more waxy and selling it at an even cheaper rate for everyone who can't smoke b ...,0.87754604,USA,,4.94/5,
cultmadeline,Drugs/Cannabis/Concentrates,1g of Honeycomb  Wax (Premium),"You are purchasing 1g of high quality honeycomb extract from our very finest extraction department.  PREMIUM HONEYCOMB WAX for Sophisticated Dabbers   WAX LEVEL II  (Award Winning ""Whipped HoneyC ...",0.239213132,USA France  Sweden  Norway  Asia  Phillipines  Thailand  Hong Kong  Israel  United Kingdom,USA  France  Sweden  Norway  Asia  Phillipines  Thailand  Hong Kong  Israel  United Kingdom,4.997/5,
